url,product_id,category
https://www.amazon.sa/-/en/Kingston-Solid-State-SA400S37-480G/dp/B01N0TQPQB/ref=zg_bs_electronics_sccl_26/260-0057919-4346154?psc=1,B01N0TQPQB,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
https://www.amazon.sa/-/en/Apple-20W-USB-C-Power-Adapter/dp/B08L85KDV5/ref=zg_bs_electronics_sccl_1/260-0057919-4346154?psc=1,B08L85KDV5,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
https://www.amazon.sa/-/en/Samsung-Android-Smartphone-EP-TA800-Charging/dp/B0BJQPJMM1/ref=zg_bs_electronics_sccl_10/260-0057919-4346154?psc=1,B0BJQPJMM1,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
https://www.amazon.sa/-/en/Xiaomi-Mi-Box-Chromecast-Built/dp/B0981Z4D1D/ref=zg_bs_electronics_sccl_8/260-0057919-4346154?psc=1,B0981Z4D1D,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
https://www.amazon.sa/-/en/Apple-USB-C-Lightning-Cable-1m/dp/B09JRG6GLX/ref=zg_bs_electronics_sccl_20/260-0057919-4346154?psc=1,B09JRG6GLX,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
https://www.amazon.sa/-/en/Xiaomi-Bluetooth-Remote-Smaller-Powerful/dp/B08B8F63XP/ref=zg_bs_electronics_sccl_11/260-0057919-4346154?psc=1,B08B8F63XP,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
https://www.amazon.sa/-/en/Apple-MX532ZE-A-New-AirTag/dp/B093Q75MN3/ref=zg_bs_electronics_sccl_7/260-0057919-4346154?psc=1,B093Q75MN3,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
https://www.amazon.sa/-/en/2021-Apple-iPad-10-2-inch-Wi-Fi/dp/B09G93MH2V/ref=zg_bs_electronics_sccl_23/260-0057919-4346154?psc=1,B09G93MH2V,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
https://www.amazon.sa/-/en/generation-Smart-speaker-Arabic-English/dp/B093QN7JTB/ref=zg_bs_electronics_sccl_5/260-0057919-4346154?psc=1,B093QN7JTB,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
https://www.amazon.sa/-/en/Xiaomi-Bluetooth-Remote-Smaller-Powerful/dp/B09NZQLDVK/ref=zg_bs_electronics_sccl_19/260-0057919-4346154?psc=1,B09NZQLDVK,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
